Movement	BodyTarget	NeedsMat	Type
Squat	Lower body	0	Calisthenics
Lunge	Lower body	0	Calisthenics
Curtsy lunge	Lower body	0	Calisthenics
Sumo squat	Lower body	0	Calisthenics
Narrow squat	Lower body	0	Calisthenics
Pilates 100	Core	1	Calisthenics
Bicycles	Core	1	Calisthenics
Plank	Core	1	Calisthenics
Pushups	Upper body	1	Calisthenics
Plank side step	Core	1	Calisthenics
Plank saw	Core	1	Calisthenics
Bird-dog crunch	Core	1	Calisthenics
Mountain climber	Core	1	Calisthenics
Bridge	Lower body	1	Calisthenics
V-squeezes	Core	1	Calisthenics
Supermans	Core	1	Calisthenics
Swim legs	Core	1	Calisthenics
Side lunges	Lower body	0	Calisthenics
Calf raises	Lower body	0	Calisthenics
Leg tucks	Core	0	Calisthenics
Sit ups	Core	1	Calisthenics
Bicep curls	Upper body	0	Weights
Hammer curls	Upper body	0	Weights
Tricep extensions	Upper body	0	Weights
Chest flys	Upper body	1	Weights
Arnold presses	Upper body	0	Weights
Chest presses	Upper body	1	Weights
Skull crushers	Upper body	1	Weights
Wide rows	Upper body	0	Weights
Narrow rows	Upper body	0	Weights
Deadlifts	Lower body	0	Weights
Lateral side raises	Upper body	0	Weights
Front raises	Upper body	0	Weights
Goblet squats	Lower body	0	Weights
Pull overs	Core	1	Weights
Straight presses	Upper body	1	Weights
Push presses	Upper body	0	Weights
Plank pass throughs	Core	1	Weights
Rear flys	Upper body	0	Weights
Kickbacks	Upper body	0	Weights
Dumbbell swing	Upper body	0	Weights
Shadow boxing	Upper body	0	Weights
Stationary bike	Lower body	0	Cardio
Jumping jacks	Full body	0	Cardio
Stepper	Lower body	0	Cardio
High knees	Lower body	0	Cardio
Butt kicks	Lower body	0	Cardio
Skaters	Full body	0	Cardio
Squat side walks	Lower body	0	Cardio
Side plank	Core	1	Calisthenics
